Designator,Mid X,Mid Y,Rotation,Layer
_21,99.66,-98.14,0.0,top
_20,99.66,-110.14,0.0,top
_19,99.66,-104.14,0.0,top
_18,99.66,-92.14,0.0,top
_17,99.66,-74.46,0.0,top
_16,99.66,-80.46,0.0,top
_15,99.66,-86.46,0.0,top
_14,153.03,-98.05,0.0,top
_13,153.03,-110.05,0.0,top
_12,153.03,-104.05,0.0,top
_11,153.03,-92.05,0.0,top
_10,153.03,-74.37,0.0,top
_9,153.03,-80.37,0.0,top
_8,153.03,-86.37,0.0,top
_7,214.15,-86.25,0.0,top
_6,214.15,-80.25,0.0,top
_5,214.15,-74.25,0.0,top
_4,214.15,-91.93,0.0,top
_3,214.15,-103.93,0.0,top
_2,214.15,-109.93,0.0,top
,214.15,-97.93,0.0,top
C1,236.01,-92.28,0.0,top
C2,236.02,-89.77,0.0,top
C3,235.49,-107.895002,90.0,top
C4,227.49,-110.895002,270.0,top
C5,223.51,-82.05,180.0,top
C6,223.95,-83.55,180.0,top
C7,227.869517,-99.319999,90.0,top
C8,230.9709,-79.83,90.0,top
J1,55.0,-92.3,180.0,top
J10,118.88,-96.880001,270.0,top
J11,195.74,-88.84,0.0,top
J12,167.49,-89.04,0.0,top
J13,232.45,-71.76,90.0,top
J2,131.78,-79.210001,90.0,top
J3,61.0,-92.3,180.0,top
J4,85.0,-92.72,0.0,top
J5,73.27,-80.57,90.0,top
J6,73.27,-75.57,90.0,top
J7,72.65,-103.57,90.0,top
J8,138.25,-90.5,0.0,top
J9,112.5,-85.71,180.0,top
L1,239.51,-110.11,270.0,top
R1,236.05,-86.88,180.0,top
R2,228.32,-85.5,270.0,top
R3,228.02,-89.08,0.0,top
R4,227.49,-107.395002,270.0,top
R5,231.99,-105.395002,0.0,top
R6,223.14,-69.415,90.0,top
R7,220.14,-69.415,90.0,top
U1,125.5463,-88.24,0.0,top
U2,73.0,-91.84,0.0,top
U3,184.2746,-88.080001,180.0,top
U4,231.52,-98.77,180.0,top
U5,231.825999,-89.920001,0.0,top
U6,176.079517,-83.880001,0.0,top
U7,231.52,-108.77,180.0,top
U8,227.51,-81.4,270.0,top
Y1,223.89,-79.29,90.0,top
